,Postal_Code,Color,Station
454,6023AA,ROOD,Maarheeze
455,6024AA,ROOD,Maarheeze
456,6026AA,ROOD,Maarheeze
457,6031AA,ROOD,NEDERWEERT
458,6035AA,ROOD,NEDERWEERT
459,6039AA,ROOD,KELPEN
460,6041AA,WIT,MAALBROEK
461,6042AA,WIT,ROERMOND
462,6043AA,WIT,ROERMOND
463,6045AA,WIT,ROERMOND
464,6049AA,WIT,ROERMOND
465,6051AA,ROOD,MAASBRACHT
466,6061AA,ROOD,MAASBRACHT
467,6063AA,ROOD,MAASBRACHT
468,6065AA,ROOD,MAASBRACHT
469,6067AA,ROOD,MAASBRACHT
470,6071AA,WIT,MAALBROEK
471,6074AA,ROOD,MAASBRACHT
472,6075AA,WIT,MAALBROEK
473,6077AA,WIT,ROERMOND
474,6080AA,ROOD,MAASBRACHT
475,6081AA,GEEL,BUGGENUM
476,6082AA,GEEL,BUGGENUM
477,6083AA,GEEL,BUGGENUM
478,6085AA,GEEL,BUGGENUM
479,6086AA,ORANJE,HELDEN
480,6088AA,GEEL,BUGGENUM
481,6093AA,GEEL,BUGGENUM
482,6096AA,ROOD,MAASBRACHT
483,6097AA,GEEL,BUGGENUM
484,6099AA,GEEL,BUGGENUM
485,6101AA,ROOD,MAASBRACHT
486,6102AA,ROOD,MAASBRACHT
487,6104AA,ROOD,MAASBRACHT
488,6105AA,ROOD,MAASBRACHT
489,6107AA,ROOD,MAASBRACHT
490,6109AA,ROOD,MAASBRACHT
491,6111AA,ROOD,MAASBRACHT
492,6112AA,ROOD,MAASBRACHT
493,6114AA,ROOD,MAASBRACHT
494,6116AA,GEEL,BORN
495,6118AA,GEEL,BORN
496,6120AA,GEEL,BORN
497,6124AA,GEEL,BORN
498,6125AA,GEEL,BORN
499,6127AA,GEEL,BORN
500,6129AA,WIT,LUTTERADE
501,6130AA,WIT,LUTTERADE
502,6131AA,WIT,LUTTERADE
503,6132AA,WIT,LUTTERADE
504,6133AA,WIT,LUTTERADE
505,6134AA,WIT,LUTTERADE
506,6135AA,WIT,LUTTERADE
507,6136AA,GEEL,BORN
508,6137AA,WIT,LUTTERADE
509,6141AA,GEEL,BORN
510,6142AA,WIT,LUTTERADE
511,6143AA,GEEL,BORN
512,6151AA,WIT,LUTTERADE
513,6153AA,WIT,LUTTERADE
514,6160AA,WIT,TREEBEEK
515,6161AA,WIT,LUTTERADE
516,6162AA,WIT,LUTTERADE
517,6163AA,WIT,LUTTERADE
518,6164AA,WIT,LUTTERADE
519,6165AA,WIT,LUTTERADE
520,6166AA,WIT,LUTTERADE
521,6170AA,WIT,LUTTERADE
522,6171AA,WIT,LUTTERADE
523,6176AA,GEEL,BEEK
524,6181AA,GEEL,BEEK
525,6190AA,WIT,LUTTERADE
526,6191AA,GEEL,BEEK
527,6199AA,GEEL,BEEK
528,6200AA,WIT,WITTEVROUWENVELD
529,6211AA,WIT,LIMMEL
530,6212AA,WIT,LIMMEL
531,6213AA,WIT,LIMMEL
532,6214AA,WIT,LIMMEL
533,6218AA,GEEL,BOSCHPOORT
534,6219AA,WIT,LIMMEL
535,6221AA,WIT,LIMMEL
536,6222AA,WIT,LIMMEL
537,6224AA,WIT,LIMMEL
538,6225AA,WIT,WITTEVROUWENVELD
539,6226AA,WIT,WITTEVROUWENVELD
540,6227AA,WIT,HEER
541,6231AA,WIT,LIMMEL
542,6235AA,WIT,LIMMEL
543,6241AA,WIT,LIMMEL
544,6243AA,GEEL,BEEK
545,6245AA,WIT,HEER
546,6247AA,WIT,HEER
547,6255AA,GEEL,SCHOONBRON
548,6265AA,WIT,HEER
549,6267AA,WIT,HEER
550,6269AA,GEEL,SCHOONBRON
551,6271AA,GEEL,SCHOONBRON
552,6285AA,GEEL,SCHOONBRON
553,6286AA,GEEL,SCHOONBRON
554,6287AA,GEEL,SCHOONBRON
555,6291AA,GEEL,SCHOONBRON
556,6294AA,GEEL,SCHOONBRON
557,6295AA,GEEL,SCHOONBRON
558,6301AA,GEEL,SCHOONBRON
559,6305AA,GEEL,SCHOONBRON
560,6325AA,WIT,WITTEVROUWENVELD
561,6333AA,GEEL,BEEK
562,6336AA,GEEL,SCHOONBRON
563,6343AA,GEEL,SCHOONBRON
564,6351AA,WIT,TERWINSELEN
565,6361AA,WIT,TREEBEEK
566,6363AA,WIT,TREEBEEK
567,6367AA,GEEL,SCHOONBRON
568,6369AA,WIT,TERWINSELEN
569,6371AA,WIT,TERWINSELEN
570,6372AA,WIT,TERWINSELEN
571,6374AA,WIT,TERWINSELEN
572,6400AA,WIT,HUSKENSWEG
573,6411AA,WIT,HUSKENSWEG
574,6412AA,WIT,HUSKENSWEG
575,6413AA,WIT,HUSKENSWEG
576,6414AA,WIT,HUSKENSWEG
577,6415AA,WIT,HUSKENSWEG
578,6416AA,WIT,HUSKENSWEG
579,6417AA,WIT,TERWINSELEN
580,6419AA,WIT,HUSKENSWEG
581,6431AA,WIT,TREEBEEK
582,6432AA,WIT,TREEBEEK
583,6436AA,WIT,TREEBEEK
584,6438AA,WIT,TREEBEEK
585,6439AA,WIT,TREEBEEK
586,6441AA,WIT,TREEBEEK
587,6442AA,WIT,TREEBEEK
588,6443AA,WIT,TREEBEEK
589,6444AA,WIT,TREEBEEK
590,6445AA,WIT,TREEBEEK
591,6446AA,WIT,TREEBEEK
592,6447AA,WIT,TREEBEEK
593,6451AA,WIT,TREEBEEK
594,6454AA,WIT,TREEBEEK
595,6456AA,WIT,TREEBEEK
596,6461AA,WIT,TERWINSELEN
597,6462AA,WIT,TERWINSELEN
598,6463AA,WIT,TERWINSELEN
599,6464AA,WIT,TERWINSELEN
600,6465AA,WIT,TERWINSELEN
601,6466AA,WIT,TERWINSELEN
602,6467AA,WIT,TERWINSELEN
603,6468AA,WIT,TERWINSELEN
604,6471AA,WIT,TERWINSELEN
605,6584AA,ROOD,GENNEP
606,6585AA,ROOD,GENNEP
607,6586AA,ROOD,GENNEP
608,6587AA,ROOD,GENNEP
609,6591AA,ROOD,GENNEP
610,6595AA,ROOD,GENNEP
611,6596AA,ROOD,GENNEP
612,6598AA,ROOD,GENNEP
613,7411AA,ORANJE,Deventer Bergweide
614,7412AA,ORANJE,Deventer Platvoet
615,7413AA,ORANJE,Deventer Platvoet
616,7416AA,ORANJE,Deventer Platvoet
617,7417AA,ORANJE,Deventer Platvoet
618,7418AA,ORANJE,Deventer Bergweide
619,7419AA,ORANJE,Deventer Platvoet
620,7421AA,ORANJE,Deventer Bergweide
621,7423AA,ORANJE,Deventer Bergweide
622,7424AA,ORANJE,Deventer Bergweide
623,7425AA,ORANJE,Deventer Bergweide
624,7429AA,ORANJE,Deventer Bergweide
625,7431AA,ORANJE,Deventer Platvoet
626,7433AA,ORANJE,Deventer Platvoet
627,7437AA,ORANJE,Deventer Bergweide
628,7441AA,ORANJE,Nijverdal
629,7442AA,ORANJE,Nijverdal
630,7443AA,ORANJE,Nijverdal
631,7447AA,ORANJE,Nijverdal
632,7448AA,ORANJE,Raalte
633,7451AA,ORANJE,Rijssen
634,7461AA,ORANJE,Rijssen
635,7462AA,ORANJE,Rijssen
636,7463AA,ORANJE,Rijssen
637,7468AA,GEEL,Goor
638,7472AA,GEEL,Goor
639,7475AA,GEEL,Goor
640,7478AA,GEEL,Goor
641,7481AA,WIT,Haaksbergen
642,7482AA,WIT,Haaksbergen
643,7483AA,WIT,Haaksbergen
644,7491AA,GEEL,Hengelo Weideweg
645,7496AA,GEEL,Goor
646,7511AA,GEEL,Enschede van Heekstraa
647,7512AA,GEEL,Enschede Wesselerbrink
648,7513AA,GEEL,Enschede van Heekstraa
649,7514AA,GEEL,Enschede van Heekstraa
650,7521AA,GEEL,Enschede van Heekstraa
651,7522AA,GEEL,Enschede van Heekstraa
652,7523AA,GEEL,Enschede Vechtstraat
653,7524AA,GEEL,Enschede Vechtstraat
654,7531AA,GEEL,Enschede Vechtstraat
655,7532AA,GEEL,Enschede Vechtstraat
656,7533AA,GEEL,Enschede Vechtstraat
657,7534AA,GEEL,Enschede Vechtstraat
658,7535AA,GEEL,Enschede Vechtstraat
659,7541AA,GEEL,Enschede Wesselerbrink
660,7543AA,GEEL,Enschede Wesselerbrink
661,7544AA,GEEL,Enschede Wesselerbrink
662,7545AA,GEEL,Enschede van Heekstraa
663,7546AA,GEEL,Enschede Wesselerbrink
664,7547AA,GEEL,Enschede van Heekstraa
665,7548AA,GEEL,Enschede Marssteden
666,7551AA,GEEL,Hengelo Weideweg
667,7552AA,GEEL,Hengelo Bolderhoek
668,7553AA,GEEL,Hengelo Weideweg
669,7555AA,GEEL,Hengelo Weideweg
670,7556AA,GEEL,Hengelo Weideweg
671,7557AA,GEEL,Hengelo Weideweg
672,7558AA,GEEL,Hengelo Weideweg
673,7559AA,GEEL,Hengelo Weideweg
674,7561AA,GEEL,Hengelo Weideweg
675,7581AA,GEEL,Losser
676,7582AA,GEEL,Losser
677,7586AA,GEEL,Losser
678,7587AA,GEEL,Losser
679,7591AA,GEEL,Oldenzaal
680,7595AA,GEEL,Oldenzaal
681,7610AA,ROOD,Vroomshoop
682,7621AA,GEEL,Hengelo Weideweg
683,7622AA,GEEL,Hengelo Weideweg
684,7631AA,GEEL,Oldenzaal
685,7641AA,ROOD,Almelo Mosterdpot
686,7642AA,ROOD,Almelo Mosterdpot
687,7645AA,ROOD,Almelo Mosterdpot
688,7651AA,ROOD,Tubbergen
689,7665AA,ROOD,Tubbergen
690,7671AA,ROOD,Vroomshoop
691,7672AA,ROOD,Vroomshoop
692,7676AA,ROOD,Vroomshoop
693,7678AA,ROOD,Tubbergen
694,7681AA,ROOD,Vroomshoop
695,7683AA,ROOD,Vroomshoop
696,7686AA,ROOD,Vroomshoop
697,7687AA,ROOD,Vroomshoop
698,7691AA,ROOD,HARDENBERG
699,7692AA,ROOD,HARDENBERG
700,7694AA,ROOD,Vroomshoop
701,7701AA,ROOD,DEDEMSVAART
702,7702AA,ROOD,DEDEMSVAART
703,7707AA,ROOD,Ommen Dante
704,7711AA,ROOD,Ommen Dante
705,7721AA,ROOD,Zwolle Hessenweg
706,7722AA,ROOD,Zwolle Hessenweg
707,7731AA,ROOD,Ommen Dante
708,7732AA,ROOD,Ommen Dante
709,7734AA,ROOD,Ommen Dante
710,7741AA,GEEL,Coevorden
711,7751AA,GEEL,Coevorden
712,7753AA,GEEL,Coevorden
713,7761AA,ROOD,VEENOORD
714,7764AA,ROOD,VEENOORD
715,7765AA,ROOD,VEENOORD
716,7771AA,ROOD,HARDENBERG
717,7772AA,ROOD,HARDENBERG
718,7773AA,ROOD,HARDENBERG
719,7775AA,ROOD,DEDEMSVAART
720,7776AA,ROOD,DEDEMSVAART
721,7783AA,GEEL,Coevorden
722,7784AA,ROOD,HARDENBERG
723,7788AA,ROOD,HARDENBERG
724,7811AA,ROOD,HARDENBERG
725,7812AA,ROOD,BARGERMEER
726,7813AA,ROOD,BARGERMEER
727,7815AA,ROOD,EMMEN WEERDINGE
728,7821AA,ROOD,BARGERMEER
729,7822AA,ROOD,EMMEN WEERDINGE
730,7823AA,ROOD,EMMEN WEERDINGE
731,7824AA,ROOD,EMMEN WEERDINGE
732,7825AA,ROOD,EMMEN WEERDINGE
733,7827AA,ROOD,BARGERMEER
